# q=2.000000e+00 chizA=0.000000e+00 chizB=0.000000e+00 f0=9.970000e+00
# M=6.000000e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+00 phi=2.098301e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
1.293945312e-02 3.718298744763e-20 6.836617865714e-20 0.000000000000e+00 0.000000000000e+00
1.318359375e-02 3.646356587067e-20 6.878128800524e-20 0.000000000000e+00 0.000000000000e+00
1.342773438e-02 3.573943240014e-20 6.918941106487e-20 0.000000000000e+00 0.000000000000e+00
1.367187500e-02 3.501064298115e-20 6.959049673268e-20 0.000000000000e+00 0.000000000000e+00
1.391601562e-02 3.427725403168e-20 6.998449417530e-20 0.000000000000e+00 0.000000000000e+00
1.416015625e-02 3.353932244795e-20 7.037135280116e-20 0.000000000000e+00 0.000000000000e+00
1.440429688e-02 3.279690560884e-20 7.075102225292e-20 0.000000000000e+00 0.000000000000e+00
1.464843750e-02 3.205006137921e-20 7.112345241051e-20 0.000000000000e+00 0.000000000000e+00
1.489257813e-02 3.129884810933e-20 7.148859341275e-20 0.000000000000e+00 0.000000000000e+00
1.513671875e-02 3.054332463275e-20 7.184639568041e-20 0.000000000000e+00 0.000000000000e+00
1.538085938e-02 2.978355027566e-20 7.219680988499e-20 0.000000000000e+00 0.000000000000e+00
1.562500000e-02 2.901958486125e-20 7.253978694700e-20 0.000000000000e+00 0.000000000000e+00
1.586914062e-02 2.825148871311e-20 7.287527803990e-20 0.000000000000e+00 0.000000000000e+00
1.611328125e-02 2.747932265095e-20 7.320323461820e-20 0.000000000000e+00 0.000000000000e+00
1.635742188e-02 2.670314798960e-20 7.352360843040e-20 0.000000000000e+00 0.000000000000e+00
1.660156250e-02 2.592302655145e-20 7.383635148979e-20 0.000000000000e+00 0.000000000000e+00
1.684570312e-02 2.513902067080e-20 7.414141607560e-20 0.000000000000e+00 0.000000000000e+00
1.708984375e-02 2.435119319700e-20 7.443875473777e-20 0.000000000000e+00 0.000000000000e+00
1.733398438e-02 2.355960748656e-20 7.472832032835e-20 0.000000000000e+00 0.000000000000e+00
1.757812500e-02 2.276432740353e-20 7.501006600881e-20 0.000000000000e+00 0.000000000000e+00
1.782226562e-02 2.196541733473e-20 7.528394522310e-20 0.000000000000e+00 0.000000000000e+00
1.806640625e-02 2.116294219407e-20 7.554991170021e-20 0.000000000000e+00 0.000000000000e+00
1.831054688e-02 2.035696742564e-20 7.580791945948e-20 0.000000000000e+00 0.000000000000e+00
1.855468750e-02 1.954755899271e-20 7.605792284261e-20 0.000000000000e+00 0.000000000000e+00
1.879882812e-02 1.873478337814e-20 7.629987652051e-20 0.000000000000e+00 0.000000000000e+00
1.904296875e-02 1.791870760278e-20 7.653373546739e-20 0.000000000000e+00 0.000000000000e+00
1.928710938e-02 1.709939923003e-20 7.675945496388e-20 0.000000000000e+00 0.000000000000e+00
1.953125000e-02 1.627692636900e-20 7.697699060265e-20 0.000000000000e+00 0.000000000000e+00
1.977539062e-02 1.545135766175e-20 7.718629831839e-20 0.000000000000e+00 0.000000000000e+00
2.001953125e-02 1.462276228069e-20 7.738733439932e-20 0.000000000000e+00 0.000000000000e+00
2.026367188e-02 1.379120995127e-20 7.758005546082e-20 0.000000000000e+00 0.000000000000e+00
2.050781250e-02 1.295677095694e-20 7.776441844862e-20 0.000000000000e+00 0.000000000000e+00
2.075195312e-02 1.211951614270e-20 7.794038064450e-20 0.000000000000e+00 0.000000000000e+00
2.099609375e-02 1.127951690279e-20 7.810789969184e-20 0.000000000000e+00 0.000000000000e+00
2.124023438e-02 1.043684517083e-20 7.826693361563e-20 0.000000000000e+00 0.000000000000e+00
2.148437500e-02 9.591573447600e-21 7.841744079544e-20 0.000000000000e+00 0.000000000000e+00
2.172851563e-02 8.743774807412e-21 7.855937996770e-20 0.000000000000e+00 0.000000000000e+00
2.197265625e-02 7.893522901733e-21 7.869271023179e-20 0.000000000000e+00 0.000000000000e+00
2.221679688e-02 7.040891950440e-21 7.881739106908e-20 0.000000000000e+00 0.000000000000e+00
2.246093750e-02 6.185956721032e-21 7.893338237265e-20 0.000000000000e+00 0.000000000000e+00
2.270507813e-02 5.328792560051e-21 7.904064442195e-20 0.000000000000e+00 0.000000000000e+00
2.294921875e-02 4.469475402902e-21 7.913913788258e-20 0.000000000000e+00 0.000000000000e+00
2.319335938e-02 3.608081777389e-21 7.922882381304e-20 0.000000000000e+00 0.000000000000e+00
2.343750000e-02 2.744688800357e-21 7.930966367742e-20 0.000000000000e+00 0.000000000000e+00
2.368164062e-02 1.879374147166e-21 7.938161938038e-20 0.000000000000e+00 0.000000000000e+00
2.392578125e-02 1.012216079258e-21 7.944465325059e-20 0.000000000000e+00 0.000000000000e+00
2.416992188e-02 1.432934618719e-22 7.949872803509e-20 0.000000000000e+00 0.000000000000e+00
2.441406250e-02 -7.273142325202e-22 7.954380690663e-20 0.000000000000e+00 0.000000000000e+00
2.465820312e-02 -1.599526923098e-21 7.957985347280e-20 0.000000000000e+00 0.000000000000e+00
2.490234375e-02 -2.473263951487e-21 7.960683180711e-20 0.000000000000e+00 0.000000000000e+00
2.514648438e-02 -3.348444072785e-21 7.962470644998e-20 0.000000000000e+00 0.000000000000e+00
2.539062500e-02 -4.224985424662e-21 7.963344239603e-20 0.000000000000e+00 0.000000000000e+00
2.563476562e-02 -5.102805523299e-21 7.963300510158e-20 0.000000000000e+00 0.000000000000e+00
2.587890625e-02 -5.981821260517e-21 7.962336049307e-20 0.000000000000e+00 0.000000000000e+00
2.612304688e-02 -6.861948926090e-21 7.960447498957e-20 0.000000000000e+00 0.000000000000e+00
2.636718750e-02 -7.743104224418e-21 7.957631552023e-20 0.000000000000e+00 0.000000000000e+00
2.661132812e-02 -8.625202232354e-21 7.953884950890e-20 0.000000000000e+00 0.000000000000e+00
2.685546875e-02 -9.508157391815e-21 7.949204488036e-20 0.000000000000e+00 0.000000000000e+00
2.709960938e-02 -1.039188350683e-20 7.943587006926e-20 0.000000000000e+00 0.000000000000e+00
2.734375000e-02 -1.127629375082e-20 7.937029403369e-20 0.000000000000e+00 0.000000000000e+00
2.758789062e-02 -1.216130070807e-20 7.929528628259e-20 0.000000000000e+00 0.000000000000e+00
2.783203125e-02 -1.304681633598e-20 7.921081686712e-20 0.000000000000e+00 0.000000000000e+00
2.807617188e-02 -1.393275194464e-20 7.911685638199e-20 0.000000000000e+00 0.000000000000e+00
2.832031250e-02 -1.481901819417e-20 7.901337597514e-20 0.000000000000e+00 0.000000000000e+00
2.856445312e-02 -1.570552509357e-20 7.890034735809e-20 0.000000000000e+00 0.000000000000e+00
2.880859375e-02 -1.659218203643e-20 7.877774282786e-20 0.000000000000e+00 0.000000000000e+00
2.905273438e-02 -1.747889780378e-20 7.864553527628e-20 0.000000000000e+00 0.000000000000e+00
2.929687500e-02 -1.836558052053e-20 7.850369818572e-20 0.000000000000e+00 0.000000000000e+00
2.954101562e-02 -1.925213765090e-20 7.835220563875e-20 0.000000000000e+00 0.000000000000e+00
2.978515625e-02 -2.013847599623e-20 7.819103232883e-20 0.000000000000e+00 0.000000000000e+00
3.002929688e-02 -2.102450170893e-20 7.802015357447e-20 0.000000000000e+00 0.000000000000e+00
3.027343750e-02 -2.191012033647e-20 7.783954533827e-20 0.000000000000e+00 0.000000000000e+00
3.051757812e-02 -2.279523677315e-20 7.764918422588e-20 0.000000000000e+00 0.000000000000e+00
3.076171875e-02 -2.367975524356e-20 7.744904749392e-20 0.000000000000e+00 0.000000000000e+00
3.100585938e-02 -2.456357930079e-20 7.723911306144e-20 0.000000000000e+00 0.000000000000e+00
3.125000000e-02 -2.544661182657e-20 7.701935952175e-20 0.000000000000e+00 0.000000000000e+00
3.149414062e-02 -2.632875507295e-20 7.678976615816e-20 0.000000000000e+00 0.000000000000e+00
3.173828125e-02 -2.720991066423e-20 7.655031295361e-20 0.000000000000e+00 0.000000000000e+00
3.198242188e-02 -2.808997955027e-20 7.630098059692e-20 0.000000000000e+00 0.000000000000e+00
3.222656250e-02 -2.896886200294e-20 7.604175049481e-20 0.000000000000e+00 0.000000000000e+00
3.247070312e-02 -2.984645761506e-20 7.577260478442e-20 0.000000000000e+00 0.000000000000e+00
3.271484375e-02 -3.072266531318e-20 7.549352634582e-20 0.000000000000e+00 0.000000000000e+00
3.295898438e-02 -3.159738340931e-20 7.520449881282e-20 0.000000000000e+00 0.000000000000e+00
3.320312500e-02 -3.247050955401e-20 7.490550658380e-20 0.000000000000e+00 0.000000000000e+00
3.344726562e-02 -3.334194071585e-20 7.459653483461e-20 0.000000000000e+00 0.000000000000e+00
3.369140625e-02 -3.421157318094e-20 7.427756953193e-20 0.000000000000e+00 0.000000000000e+00
3.393554688e-02 -3.507930255309e-20 7.394859744676e-20 0.000000000000e+00 0.000000000000e+00
3.417968750e-02 -3.594502378928e-20 7.360960616347e-20 0.000000000000e+00 0.000000000000e+00
3.442382812e-02 -3.680863122415e-20 7.326058408811e-20 0.000000000000e+00 0.000000000000e+00
3.466796875e-02 -3.767001851504e-20 7.290152046732e-20 0.000000000000e+00 0.000000000000e+00
3.491210938e-02 -3.852907863643e-20 7.253240540318e-20 0.000000000000e+00 0.000000000000e+00
3.515625000e-02 -3.938570388033e-20 7.215322986762e-20 0.000000000000e+00 0.000000000000e+00
3.540039062e-02 -4.023978586086e-20 7.176398571607e-20 0.000000000000e+00 0.000000000000e+00
3.564453125e-02 -4.109121556708e-20 7.136466568871e-20 0.000000000000e+00 0.000000000000e+00
3.588867188e-02 -4.193988334945e-20 7.095526342585e-20 0.000000000000e+00 0.000000000000e+00
3.613281250e-02 -4.278567887962e-20 7.053577349195e-20 0.000000000000e+00 0.000000000000e+00
3.637695312e-02 -4.362849115071e-20 7.010619139125e-20 0.000000000000e+00 0.000000000000e+00
3.662109375e-02 -4.446820847878e-20 6.966651358316e-20 0.000000000000e+00 0.000000000000e+00
3.686523438e-02 -4.530471851762e-20 6.921673749304e-20 0.000000000000e+00 0.000000000000e+00
3.710937500e-02 -4.613790831455e-20 6.875686150597e-20 0.000000000000e+00 0.000000000000e+00
3.735351562e-02 -4.696766426584e-20 6.828688499721e-20 0.000000000000e+00 0.000000000000e+00
3.759765625e-02 -4.779387209719e-20 6.780680835608e-20 0.000000000000e+00 0.000000000000e+00
3.784179688e-02 -4.861641686622e-20 6.731663300234e-20 0.000000000000e+00 0.000000000000e+00
3.808593750e-02 -4.943518296522e-20 6.681636140274e-20 0.000000000000e+00 0.000000000000e+00
3.833007812e-02 -5.025005414780e-20 6.630599707505e-20 0.000000000000e+00 0.000000000000e+00
3.857421875e-02 -5.106091357271e-20 6.578554458089e-20 0.000000000000e+00 0.000000000000e+00
3.881835938e-02 -5.186764375197e-20 6.525500956905e-20 0.000000000000e+00 0.000000000000e+00
3.906250000e-02 -5.267012654325e-20 6.471439879849e-20 0.000000000000e+00 0.000000000000e+00
3.930664062e-02 -5.346824315368e-20 6.416372015572e-20 0.000000000000e+00 0.000000000000e+00
3.955078125e-02 -5.426187414440e-20 6.360298267224e-20 0.000000000000e+00 0.000000000000e+00
3.979492188e-02 -5.505089946578e-20 6.303219652002e-20 0.000000000000e+00 0.000000000000e+00
4.003906250e-02 -5.583519848613e-20 6.245137300899e-20 0.000000000000e+00 0.000000000000e+00
4.028320312e-02 -5.661464994460e-20 6.186052463932e-20 0.000000000000e+00 0.000000000000e+00
4.052734375e-02 -5.738913195030e-20 6.125966512394e-20 0.000000000000e+00 0.000000000000e+00
4.077148438e-02 -5.815852198772e-20 6.064880940701e-20 0.000000000000e+00 0.000000000000e+00
4.101562500e-02 -5.892269692357e-20 6.002797368152e-20 0.000000000000e+00 0.000000000000e+00
4.125976562e-02 -5.968153304892e-20 5.939717537354e-20 0.000000000000e+00 0.000000000000e+00
4.150390625e-02 -6.043490609174e-20 5.875643315092e-20 0.000000000000e+00 0.000000000000e+00
4.174804688e-02 -6.118269117946e-20 5.810576698134e-20 0.000000000000e+00 0.000000000000e+00
4.199218750e-02 -6.192476284303e-20 5.744519815425e-20 0.000000000000e+00 0.000000000000e+00
4.223632812e-02 -6.266099502422e-20 5.677474930033e-20 0.000000000000e+00 0.000000000000e+00
4.248046875e-02 -6.339126108437e-20 5.609444440952e-20 0.000000000000e+00 0.000000000000e+00
4.272460938e-02 -6.411543384599e-20 5.540430880772e-20 0.000000000000e+00 0.000000000000e+00
4.296875000e-02 -6.483338560212e-20 5.470436916969e-20 0.000000000000e+00 0.000000000000e+00
4.321289062e-02 -6.554498808674e-20 5.399465358433e-20 0.000000000000e+00 0.000000000000e+00
4.345703125e-02 -6.625011248157e-20 5.327519157748e-20 0.000000000000e+00 0.000000000000e+00
4.370117188e-02 -6.694862942533e-20 5.254601413227e-20 0.000000000000e+00 0.000000000000e+00
4.394531250e-02 -6.764040902421e-20 5.180715370831e-20 0.000000000000e+00 0.000000000000e+00
4.418945312e-02 -6.832532088824e-20 5.105864421531e-20 0.000000000000e+00 0.000000000000e+00
4.443359375e-02 -6.900323414489e-20 5.030052102128e-20 0.000000000000e+00 0.000000000000e+00
4.467773438e-02 -6.967401741662e-20 4.953282102753e-20 0.000000000000e+00 0.000000000000e+00
4.492187500e-02 -7.033753882990e-20 4.875558269336e-20 0.000000000000e+00 0.000000000000e+00
4.516601562e-02 -7.099366602678e-20 4.796884605726e-20 0.000000000000e+00 0.000000000000e+00
4.541015625e-02 -7.164226617711e-20 4.717265275764e-20 0.000000000000e+00 0.000000000000e+00
4.565429688e-02 -7.228320600711e-20 4.636704601017e-20 0.000000000000e+00 0.000000000000e+00
4.589843750e-02 -7.291635182012e-20 4.555207059898e-20 0.000000000000e+00 0.000000000000e+00
4.614257813e-02 -7.354156948247e-20 4.472777296388e-20 0.000000000000e+00 0.000000000000e+00
4.638671875e-02 -7.415872443442e-20 4.389420122914e-20 0.000000000000e+00 0.000000000000e+00
4.663085938e-02 -7.476768170431e-20 4.305140522532e-20 0.000000000000e+00 0.000000000000e+00
4.687500000e-02 -7.536830592309e-20 4.219943651136e-20 0.000000000000e+00 0.000000000000e+00
4.711914062e-02 -7.596046134530e-20 4.133834836492e-20 0.000000000000e+00 0.000000000000e+00
4.736328125e-02 -7.654401187317e-20 4.046819574518e-20 0.000000000000e+00 0.000000000000e+00
4.760742188e-02 -7.711882105510e-20 3.958903538846e-20 0.000000000000e+00 0.000000000000e+00
4.785156250e-02 -7.768475209869e-20 3.870092584668e-20 0.000000000000e+00 0.000000000000e+00
4.809570313e-02 -7.824166788769e-20 3.780392750976e-20 0.000000000000e+00 0.000000000000e+00
